sensor_id,timestamp,equipment_id,temperature_c,vibration_mms,current_a,pressure_bar
S-010290,2024-03-26 20:00,EQ-C01,38.6,2.24,13.7,5.18
S-010291,2024-03-26 20:00,EQ-C02,41.4,2.31,14.1,5.13
S-010292,2024-03-26 20:00,EQ-C03,38.3,1.51,14.6,5.34
S-010293,2024-03-26 20:00,EQ-C04,39.4,1.52,13.4,5.3
S-010294,2024-03-26 22:00,EQ-A01,43.5,1.65,15.3,4.99
S-010295,2024-03-26 22:00,EQ-A02,43.6,2.07,12.9,5.29
S-010296,2024-03-26 22:00,EQ-A03,46.0,3.18,15.5,4.5
S-010297,2024-03-26 22:00,EQ-A04,41.5,1.86,12.0,4.99
S-010298,2024-03-26 22:00,EQ-B01,35.9,1.3,13.4,5.26
S-010299,2024-03-26 22:00,EQ-B02,37.0,1.45,12.9,5.57
S-010300,2024-03-26 22:00,EQ-B03,39.1,1.25,16.1,5.32
S-010301,2024-03-26 22:00,EQ-B04,36.1,,10.2,5.84
S-010302,2024-03-26 22:00,EQ-C01,40.6,2.05,14.0,4.98
S-010303,2024-03-26 22:00,EQ-C02,43.6,1.98,15.3,4.83
S-010304,2024-03-26 22:00,EQ-C03,39.6,1.45,14.0,4.93
S-010305,2024-03-26 22:00,EQ-C04,37.8,1.8,11.2,5.34
S-010306,2024-03-27 00:00,EQ-A01,40.0,2.86,16.5,4.94
S-010307,2024-03-27 00:00,EQ-A02,42.4,2.34,13.2,5.34
S-010308,2024-03-27 00:00,EQ-A03,48.0,2.66,15.5,4.68
S-010309,2024-03-27 00:00,EQ-A04,40.8,1.42,11.7,5.34
S-010310,2024-03-27 00:00,EQ-B01,37.8,0.84,12.6,5.68
S-010311,2024-03-27 00:00,EQ-B02,37.0,1.29,11.2,5.5
S-010312,2024-03-27 00:00,EQ-B03,38.9,1.31,15.3,5.25
S-010313,2024-03-27 00:00,EQ-B04,37.0,1.05,12.7,5.6
S-010314,2024-03-27 00:00,EQ-C01,41.5,1.02,15.4,4.79
S-010315,2024-03-27 00:00,EQ-C02,42.0,1.84,14.3,5.04
S-010316,2024-03-27 00:00,EQ-C03,40.4,2.37,13.1,5.13
S-010317,2024-03-27 00:00,EQ-C04,38.8,1.42,11.9,5.24
S-010318,2024-03-27 02:00,EQ-A01,43.4,2.8,13.1,5.15
S-010319,2024-03-27 02:00,EQ-A02,43.5,2.34,14.5,4.71
S-010320,2024-03-27 02:00,EQ-A03,47.0,3.41,15.6,4.61
S-010321,2024-03-27 02:00,EQ-A04,42.6,1.66,12.0,5.34
S-010322,2024-03-27 02:00,EQ-B01,,1.85,14.0,5.89
S-010323,2024-03-27 02:00,EQ-B02,36.6,1.29,13.6,5.95
S-010324,2024-03-27 02:00,EQ-B03,40.1,1.57,15.9,5.3
S-010325,2024-03-27 02:00,EQ-B04,39.7,1.26,11.9,5.27
S-010326,2024-03-27 02:00,EQ-C01,39.8,1.98,,5.17
S-010327,2024-03-27 02:00,EQ-C02,44.1,1.84,14.3,5.05
S-010328,2024-03-27 02:00,EQ-C03,39.1,1.95,15.0,5.21
S-010329,2024-03-27 02:00,EQ-C04,39.9,1.58,9.9,5.47
S-010330,2024-03-27 04:00,EQ-A01,45.0,3.07,14.0,5.1
S-010331,2024-03-27 04:00,EQ-A02,40.9,1.94,15.7,5.1
S-010332,2024-03-27 04:00,EQ-A03,43.1,3.11,16.1,4.66
S-010333,2024-03-27 04:00,EQ-A04,42.2,2.23,12.3,5.23
S-010334,2024-03-27 04:00,EQ-B01,37.6,1.37,13.3,5.7
S-010335,2024-03-27 04:00,EQ-B02,36.0,0.78,11.8,5.11
S-010336,2024-03-27 04:00,EQ-B03,40.1,2.01,15.8,5.37
S-010337,2024-03-27 04:00,EQ-B04,38.3,1.32,11.4,5.58
S-010338,2024-03-27 04:00,EQ-C01,42.9,2.19,11.6,5.04
S-010339,2024-03-27 04:00,EQ-C02,42.1,2.17,15.1,4.84
S-010340,2024-03-27 04:00,EQ-C03,40.7,1.84,14.7,5.5
S-010341,2024-03-27 04:00,EQ-C04,37.8,1.49,11.8,5.58
S-010342,2024-03-27 06:00,EQ-A01,42.3,,15.4,4.69
S-010343,2024-03-27 06:00,EQ-A02,45.3,2.68,14.7,4.87
S-010344,2024-03-27 06:00,EQ-A03,47.3,3.16,17.9,4.32
S-010345,2024-03-27 06:00,EQ-A04,39.9,1.29,11.9,5.09
S-010346,2024-03-27 06:00,EQ-B01,38.9,1.51,11.2,5.52
S-010347,2024-03-27 06:00,EQ-B02,38.8,0.86,13.8,5.42
S-010348,2024-03-27 06:00,EQ-B03,40.7,1.53,15.1,5.27
S-010349,2024-03-27 06:00,EQ-B04,36.9,1.54,10.5,5.55
S-010350,2024-03-27 06:00,EQ-C01,39.5,,13.1,5.27
S-010351,2024-03-27 06:00,EQ-C02,42.4,1.95,13.5,5.21
S-010352,2024-03-27 06:00,EQ-C03,38.6,1.33,13.6,5.14
S-010353,2024-03-27 06:00,EQ-C04,37.2,1.39,10.6,5.42
S-010354,2024-03-27 08:00,EQ-A01,40.5,,13.3,5.22
S-010355,2024-03-27 08:00,EQ-A02,42.0,,15.0,5.05
S-010356,2024-03-27 08:00,EQ-A03,43.2,3.49,15.3,4.99
S-010357,2024-03-27 08:00,EQ-A04,39.7,1.7,13.0,5.27
S-010358,2024-03-27 08:00,EQ-B01,37.6,0.79,13.7,5.65
S-010359,2024-03-27 08:00,EQ-B02,34.0,1.66,13.7,5.39
S-010360,2024-03-27 08:00,EQ-B03,40.4,1.18,14.8,5.55
S-010361,2024-03-27 08:00,EQ-B04,34.6,0.98,8.8,5.31
S-010362,2024-03-27 08:00,EQ-C01,39.2,2.08,13.6,5.23
S-010363,2024-03-27 08:00,EQ-C02,38.3,1.69,12.9,5.02
S-010364,2024-03-27 08:00,EQ-C03,39.0,1.47,15.6,4.99
S-010365,2024-03-27 08:00,EQ-C04,36.7,1.4,11.6,5.53
S-010366,2024-03-27 10:00,EQ-A01,41.0,2.95,14.3,5.02
S-010367,2024-03-27 10:00,EQ-A02,42.1,2.41,13.7,4.96
S-010368,2024-03-27 10:00,EQ-A04,40.5,2.33,10.9,5.62
S-010369,2024-03-27 10:00,EQ-B01,36.1,1.5,13.1,5.36
S-010370,2024-03-27 10:00,EQ-B02,35.2,1.72,13.0,5.45
S-010371,2024-03-27 10:00,EQ-B03,37.5,1.59,16.1,5.26
S-010372,2024-03-27 10:00,EQ-B04,35.2,1.44,10.6,5.24
S-010373,2024-03-27 10:00,EQ-C01,36.2,1.91,13.2,5.09
S-010374,2024-03-27 10:00,EQ-C02,39.7,1.77,14.6,5.03
S-010375,2024-03-27 10:00,EQ-C03,37.8,2.39,13.6,5.06
S-010376,2024-03-27 10:00,EQ-C04,36.2,1.18,11.7,5.38
S-010377,2024-03-27 12:00,EQ-A01,42.3,2.79,15.0,5.06
S-010378,2024-03-27 12:00,EQ-A02,43.7,2.35,14.4,4.94
S-010379,2024-03-27 12:00,EQ-A03,42.8,3.21,16.9,4.82
S-010380,2024-03-27 12:00,EQ-A04,40.9,1.6,10.8,5.31
S-010381,2024-03-27 12:00,EQ-B01,38.8,1.6,13.6,5.34
S-010382,2024-03-27 12:00,EQ-B02,36.2,,,5.02
S-010383,2024-03-27 12:00,EQ-B03,38.1,1.19,13.2,5.29
S-010384,2024-03-27 12:00,EQ-B04,34.1,1.86,11.7,5.16
S-010385,2024-03-27 12:00,EQ-C01,41.2,1.93,13.5,5.12
S-010386,2024-03-27 12:00,EQ-C02,42.1,2.7,13.9,4.98
S-010387,2024-03-27 12:00,EQ-C03,38.9,1.45,14.7,5.04
S-010388,2024-03-27 12:00,EQ-C04,37.0,1.71,12.8,5.56
S-010389,2024-03-27 14:00,EQ-A01,42.8,2.21,14.3,4.91
S-010390,2024-03-27 14:00,EQ-A02,43.4,2.24,14.6,5.06
S-010391,2024-03-27 14:00,EQ-A03,45.3,2.57,15.7,4.93
S-010392,2024-03-27 14:00,EQ-A04,39.5,1.85,13.0,5.39
S-010393,2024-03-27 14:00,EQ-B01,37.6,1.48,14.3,5.34
S-010394,2024-03-27 14:00,EQ-B02,38.0,1.37,13.5,5.53
S-010395,2024-03-27 14:00,EQ-B03,38.0,1.43,14.4,5.29
S-010396,2024-03-27 14:00,EQ-B04,37.7,0.65,10.2,5.34
S-010397,2024-03-27 14:00,EQ-C01,38.7,1.84,13.6,5.42
S-010398,2024-03-27 14:00,EQ-C02,42.2,1.89,13.9,5.01
S-010399,2024-03-27 14:00,EQ-C03,40.1,1.82,15.3,5.26
S-010400,2024-03-27 14:00,EQ-C04,37.5,1.7,11.4,5.48
S-010401,2024-03-27 16:00,EQ-A01,44.3,2.28,16.4,5.0
S-010402,2024-03-27 16:00,EQ-A02,42.0,2.69,17.1,4.85
S-010403,2024-03-27 16:00,EQ-A03,46.3,2.96,15.0,4.72
S-010404,2024-03-27 16:00,EQ-A04,36.7,1.99,11.0,5.09
S-010405,2024-03-27 16:00,EQ-B01,34.0,1.51,13.2,5.25
S-010406,2024-03-27 16:00,EQ-B02,36.4,2.1,13.6,5.54
S-010407,2024-03-27 16:00,EQ-B03,40.7,1.45,13.8,5.53
S-010408,2024-03-27 16:00,EQ-B04,34.2,0.79,10.2,6.09
S-010409,2024-03-27 16:00,EQ-C01,,1.42,16.2,4.85
S-010410,2024-03-27 16:00,EQ-C02,41.8,1.8,15.6,4.88
S-010411,2024-03-27 16:00,EQ-C03,39.6,1.66,14.0,5.05
S-010412,2024-03-27 16:00,EQ-C04,39.6,2.13,12.8,5.29
S-010413,2024-03-27 18:00,EQ-A01,43.2,2.82,15.2,5.19
S-010414,2024-03-27 18:00,EQ-A03,42.7,2.87,15.0,4.9
S-010415,2024-03-27 18:00,EQ-A04,41.7,1.62,12.1,5.17
S-010416,2024-03-27 18:00,EQ-B01,33.6,1.27,13.4,5.7
S-010417,2024-03-27 18:00,EQ-B02,38.2,1.44,12.1,5.23
S-010418,2024-03-27 18:00,EQ-B03,37.2,1.32,14.0,5.27
S-010419,2024-03-27 18:00,EQ-B04,38.2,1.11,11.4,5.32
S-010420,2024-03-27 18:00,EQ-C01,37.8,2.03,15.0,5.32
S-010421,2024-03-27 18:00,EQ-C02,41.3,2.25,15.5,5.24
S-010422,2024-03-27 18:00,EQ-C03,38.2,1.78,13.8,
S-010423,2024-03-27 18:00,EQ-C04,39.4,1.52,12.2,5.56
S-010424,2024-03-27 20:00,EQ-A01,42.3,2.6,14.3,4.93
S-010425,2024-03-27 20:00,EQ-A02,40.2,1.9,14.0,4.87
S-010426,2024-03-27 20:00,EQ-A03,44.6,2.91,15.7,4.48
S-010427,2024-03-27 20:00,EQ-A04,38.7,2.33,12.9,5.22
S-010428,2024-03-27 20:00,EQ-B01,37.3,1.37,11.1,5.62
S-010429,2024-03-27 20:00,EQ-B02,37.2,0.76,13.7,5.42
S-010430,2024-03-27 20:00,EQ-B03,40.7,1.48,13.3,5.14
S-010431,2024-03-27 20:00,EQ-C02,41.0,2.38,13.0,5.06
S-010432,2024-03-27 20:00,EQ-C03,41.3,2.05,14.8,5.14
S-010433,2024-03-27 20:00,EQ-C04,39.5,1.37,11.8,5.69
S-010434,2024-03-27 22:00,EQ-A01,43.4,2.63,13.7,4.93
S-010435,2024-03-27 22:00,EQ-A02,44.1,2.24,16.1,5.14
S-010436,2024-03-27 22:00,EQ-A03,47.0,3.14,17.5,4.32
S-010437,2024-03-27 22:00,EQ-A04,42.3,1.62,9.9,5.22
S-010438,2024-03-27 22:00,EQ-B01,37.4,1.24,11.5,5.67
S-010439,2024-03-27 22:00,EQ-B02,36.0,1.09,13.0,5.81
S-010440,2024-03-27 22:00,EQ-B03,39.1,2.01,13.5,5.49
S-010441,2024-03-27 22:00,EQ-B04,35.5,1.3,10.3,5.59
S-010442,2024-03-27 22:00,EQ-C01,39.5,1.8,14.9,5.16
S-010443,2024-03-27 22:00,EQ-C03,39.9,1.6,13.3,5.03
S-010444,2024-03-27 22:00,EQ-C04,38.0,1.08,11.8,5.88
S-010445,2024-03-28 00:00,EQ-A01,44.4,2.44,14.4,5.13
S-010446,2024-03-28 00:00,EQ-A02,44.7,2.05,12.6,4.98
S-010447,2024-03-28 00:00,EQ-A03,45.1,3.1,15.6,5.03
S-010448,2024-03-28 00:00,EQ-A04,41.1,1.78,12.1,5.15
S-010449,2024-03-28 00:00,EQ-B01,37.4,0.95,12.7,5.36
S-010450,2024-03-28 00:00,EQ-B02,36.2,1.48,,5.39
S-010451,2024-03-28 00:00,EQ-B03,40.3,1.89,13.5,4.99
S-010452,2024-03-28 00:00,EQ-B04,36.3,0.87,11.1,6.02
S-010453,2024-03-28 00:00,EQ-C01,39.2,1.76,13.8,5.31
S-010454,2024-03-28 00:00,EQ-C02,,1.74,15.1,5.07
S-010455,2024-03-28 00:00,EQ-C03,40.5,1.68,15.4,5.31
S-010456,2024-03-28 00:00,EQ-C04,39.5,2.24,12.5,4.87
S-010457,2024-03-28 02:00,EQ-A01,44.4,2.5,15.6,5.51
S-010458,2024-03-28 02:00,EQ-A02,57.1,,14.5,4.85
S-010459,2024-03-28 02:00,EQ-A03,44.3,3.26,17.6,4.94
S-010460,2024-03-28 02:00,EQ-A04,40.8,2.08,10.7,4.9
S-010461,2024-03-28 02:00,EQ-B01,39.9,1.46,11.0,5.56
S-010462,2024-03-28 02:00,EQ-B02,39.1,0.95,14.1,5.24
S-010463,2024-03-28 02:00,EQ-B03,40.9,1.72,14.3,5.45
S-010464,2024-03-28 02:00,EQ-B04,36.0,0.52,,5.67
S-010465,2024-03-28 02:00,EQ-C01,41.1,1.88,13.4,5.1
S-010466,2024-03-28 02:00,EQ-C02,41.0,1.91,14.6,5.25
S-010467,2024-03-28 02:00,EQ-C03,42.6,1.46,14.3,5.31
S-010468,2024-03-28 02:00,EQ-C04,42.1,1.25,12.3,5.22
S-010469,2024-03-28 04:00,EQ-A01,42.6,2.45,14.8,4.79
S-010470,2024-03-28 04:00,EQ-A02,42.1,2.42,14.2,4.33
S-010471,2024-03-28 04:00,EQ-A03,42.4,3.2,15.9,4.88
S-010472,2024-03-28 04:00,EQ-A04,42.5,1.72,12.8,5.28
S-010473,2024-03-28 04:00,EQ-B01,38.1,1.08,12.3,5.8
S-010474,2024-03-28 04:00,EQ-B02,40.7,1.8,13.7,5.33
S-010475,2024-03-28 04:00,EQ-B03,39.3,1.71,13.8,5.61
S-010476,2024-03-28 04:00,EQ-B04,36.5,1.05,10.4,5.71
S-010477,2024-03-28 04:00,EQ-C01,38.4,1.82,16.2,4.77
S-010478,2024-03-28 04:00,EQ-C02,43.9,1.6,15.5,5.25
S-010479,2024-03-28 04:00,EQ-C03,43.1,1.83,13.1,5.0
S-010480,2024-03-28 04:00,EQ-C04,40.5,1.49,13.3,5.17
S-010481,2024-03-28 06:00,EQ-A01,42.6,2.42,17.3,5.15
S-010482,2024-03-28 06:00,EQ-A02,41.7,2.42,14.8,4.56
S-010483,2024-03-28 06:00,EQ-A03,46.9,3.2,15.2,4.55
S-010484,2024-03-28 06:00,EQ-A04,40.8,1.65,12.4,5.11
S-010485,2024-03-28 06:00,EQ-B01,36.5,1.24,12.9,5.41
S-010486,2024-03-28 06:00,EQ-B02,37.7,1.99,12.4,5.22
S-010487,2024-03-28 06:00,EQ-B03,38.9,,14.3,4.99
S-010488,2024-03-28 06:00,EQ-B04,35.9,1.25,10.6,5.66
S-010489,2024-03-28 06:00,EQ-C01,43.3,1.47,13.9,4.81
S-010490,2024-03-28 06:00,EQ-C02,42.1,2.02,15.0,5.1
S-010491,2024-03-28 06:00,EQ-C03,40.3,2.28,14.1,4.6
S-010492,2024-03-28 06:00,EQ-C04,38.3,1.16,11.9,5.44
S-010493,2024-03-28 08:00,EQ-A01,42.4,2.75,15.0,5.16
S-010494,2024-03-28 08:00,EQ-A02,42.0,2.58,14.5,4.81
S-010495,2024-03-28 08:00,EQ-A03,43.3,3.35,16.6,5.06
S-010496,2024-03-28 08:00,EQ-A04,39.5,1.97,,5.01
S-010497,2024-03-28 08:00,EQ-B01,34.5,0.88,13.8,5.72
S-010498,2024-03-28 08:00,EQ-B03,36.5,1.79,14.7,5.04
S-010499,2024-03-28 08:00,EQ-B04,37.2,0.57,10.5,5.34
S-010500,2024-03-28 08:00,EQ-C01,36.8,1.53,13.9,4.98
S-010501,2024-03-28 08:00,EQ-C02,39.7,2.6,13.6,4.73
S-010502,2024-03-28 08:00,EQ-C03,38.0,2.15,13.3,5.55
S-010503,2024-03-28 08:00,EQ-C04,36.7,1.74,11.0,5.57
S-010504,2024-03-28 10:00,EQ-A01,40.8,2.86,15.5,4.75
S-010505,2024-03-28 10:00,EQ-A02,42.7,2.44,13.7,5.06
S-010506,2024-03-28 10:00,EQ-A03,42.3,2.94,16.3,4.64
S-010507,2024-03-28 10:00,EQ-A04,41.2,1.88,10.5,5.14
S-010508,2024-03-28 10:00,EQ-B01,35.4,1.64,13.0,5.14
S-010509,2024-03-28 10:00,EQ-B02,37.0,1.01,16.4,5.37
S-010510,2024-03-28 10:00,EQ-B03,41.8,1.28,11.9,5.13
S-010511,2024-03-28 10:00,EQ-B04,34.5,1.11,10.4,5.39
S-010512,2024-03-28 10:00,EQ-C01,39.0,2.06,14.3,5.14
S-010513,2024-03-28 10:00,EQ-C02,41.5,,15.1,4.48
S-010514,2024-03-28 10:00,EQ-C03,38.9,1.71,13.6,5.37
S-010515,2024-03-28 10:00,EQ-C04,39.1,1.52,12.7,5.18
S-010516,2024-03-28 12:00,EQ-A01,42.8,2.93,15.2,5.29
S-010517,2024-03-28 12:00,EQ-A02,42.5,2.35,13.8,5.06
S-010518,2024-03-28 12:00,EQ-A03,42.7,2.86,17.2,4.52
S-010519,2024-03-28 12:00,EQ-A04,40.0,1.31,11.4,5.39
S-010520,2024-03-28 12:00,EQ-B01,34.9,1.41,12.0,5.43
S-010521,2024-03-28 12:00,EQ-B02,37.9,1.68,12.5,5.2
S-010522,2024-03-28 12:00,EQ-B03,39.1,1.17,16.2,5.37
S-010523,2024-03-28 12:00,EQ-B04,36.4,1.37,12.0,5.26
S-010524,2024-03-28 12:00,EQ-C01,39.3,2.17,13.7,5.02
S-010525,2024-03-28 12:00,EQ-C02,41.0,2.21,15.1,4.69
S-010526,2024-03-28 12:00,EQ-C03,40.3,1.49,13.7,4.96
S-010527,2024-03-28 12:00,EQ-C04,39.6,1.39,12.1,5.37
S-010528,2024-03-28 14:00,EQ-A01,41.3,2.81,15.4,4.96
S-010529,2024-03-28 14:00,EQ-A02,41.5,2.3,15.6,4.79
S-010530,2024-03-28 14:00,EQ-A03,46.7,3.74,14.7,4.68
S-010531,2024-03-28 14:00,EQ-A04,40.0,2.04,11.0,5.33
S-010532,2024-03-28 14:00,EQ-B01,38.6,0.71,13.6,5.39
S-010533,2024-03-28 14:00,EQ-B02,38.0,1.31,15.1,5.27
S-010534,2024-03-28 14:00,EQ-B03,39.0,1.78,13.3,5.31
S-010535,2024-03-28 14:00,EQ-B04,33.7,1.06,11.9,5.29
S-010536,2024-03-28 14:00,EQ-C01,39.8,1.75,14.3,5.16
S-010537,2024-03-28 14:00,EQ-C02,41.0,2.09,13.8,4.77
S-010538,2024-03-28 14:00,EQ-C03,38.0,1.41,13.4,4.88
S-010539,2024-03-28 14:00,EQ-C04,37.6,1.28,13.2,5.09
S-010540,2024-03-28 16:00,EQ-A01,41.3,2.85,14.6,5.04
S-010541,2024-03-28 16:00,EQ-A02,39.9,2.21,14.5,5.12
S-010542,2024-03-28 16:00,EQ-A03,41.3,3.32,16.7,4.78
S-010543,2024-03-28 16:00,EQ-A04,40.6,2.38,12.6,5.28
S-010544,2024-03-28 16:00,EQ-B01,39.2,1.12,13.9,5.19
S-010545,2024-03-28 16:00,EQ-B02,37.7,1.11,14.6,5.49
S-010546,2024-03-28 16:00,EQ-B03,39.8,1.38,13.5,5.2
S-010547,2024-03-28 16:00,EQ-B04,36.3,0.97,10.0,5.41
S-010548,2024-03-28 16:00,EQ-C01,,2.05,13.5,5.15
S-010549,2024-03-28 16:00,EQ-C02,39.9,1.88,14.4,5.15
S-010550,2024-03-28 16:00,EQ-C03,41.7,1.99,15.5,5.22
S-010551,2024-03-28 16:00,EQ-C04,37.8,1.6,11.4,5.33
S-010552,2024-03-28 18:00,EQ-A01,43.9,1.91,15.1,4.65
S-010553,2024-03-28 18:00,EQ-A02,40.3,2.13,15.0,5.1
S-010554,2024-03-28 18:00,EQ-A03,43.3,3.08,16.1,5.12
S-010555,2024-03-28 18:00,EQ-A04,38.6,,12.5,5.17
S-010556,2024-03-28 18:00,EQ-B01,35.5,1.06,14.6,5.68
S-010557,2024-03-28 18:00,EQ-B02,35.7,1.53,12.7,5.45
S-010558,2024-03-28 18:00,EQ-B03,40.0,1.32,12.3,5.2
S-010559,2024-03-28 18:00,EQ-B04,36.4,1.71,11.6,5.22
S-010560,2024-03-28 18:00,EQ-C01,41.8,1.91,15.6,4.71
S-010561,2024-03-28 18:00,EQ-C02,40.4,2.19,14.5,4.78
S-010562,2024-03-28 18:00,EQ-C03,39.0,1.84,13.3,5.14
S-010563,2024-03-28 18:00,EQ-C04,41.7,1.71,12.4,5.51
S-010564,2024-03-28 20:00,EQ-A01,43.1,2.07,15.7,4.77
S-010565,2024-03-28 20:00,EQ-A02,42.2,2.28,13.4,4.66
S-010566,2024-03-28 20:00,EQ-A03,47.9,3.02,15.1,5.01
S-010567,2024-03-28 20:00,EQ-A04,37.0,2.07,11.9,4.92
S-010568,2024-03-28 20:00,EQ-B01,38.1,0.95,13.1,5.81
S-010569,2024-03-28 20:00,EQ-B02,35.2,,14.7,5.45
S-010570,2024-03-28 20:00,EQ-B03,36.6,1.77,14.8,5.18
S-010571,2024-03-28 20:00,EQ-B04,34.9,1.07,11.6,5.38
S-010572,2024-03-28 20:00,EQ-C01,35.6,1.88,13.9,5.33
S-010573,2024-03-28 20:00,EQ-C02,38.5,2.2,15.3,4.86
S-010574,2024-03-28 20:00,EQ-C03,37.3,1.81,14.0,5.03
S-010575,2024-03-28 20:00,EQ-C04,38.2,1.33,14.3,5.32
S-010576,2024-03-28 22:00,EQ-A01,44.8,2.74,16.8,5.14
S-010577,2024-03-28 22:00,EQ-A02,42.0,1.93,14.1,4.99
S-010578,2024-03-28 22:00,EQ-A04,45.4,1.5,13.5,5.07
S-010579,2024-03-28 22:00,EQ-B01,37.9,1.17,11.7,5.36
S-010580,2024-03-28 22:00,EQ-B02,55.5,1.23,12.7,5.93
S-010581,2024-03-28 22:00,EQ-B03,40.0,1.68,14.9,5.25
S-010582,2024-03-28 22:00,EQ-B04,32.3,0.97,11.3,5.51
S-010583,2024-03-28 22:00,EQ-C01,40.1,1.66,13.9,5.11
S-010584,2024-03-28 22:00,EQ-C02,40.3,1.83,13.2,5.09
S-010585,2024-03-28 22:00,EQ-C03,41.6,2.08,13.0,4.81
S-010586,2024-03-28 22:00,EQ-C04,41.5,1.6,12.5,5.29
S-010587,2024-03-29 00:00,EQ-A01,44.8,2.31,15.0,4.81
S-010588,2024-03-29 00:00,EQ-A02,42.6,2.32,15.0,4.85
S-010589,2024-03-29 00:00,EQ-A03,44.2,3.29,17.7,4.94
S-010590,2024-03-29 00:00,EQ-A04,38.7,1.89,11.3,5.3
S-010591,2024-03-29 00:00,EQ-B01,39.3,1.19,13.0,5.53
S-010592,2024-03-29 00:00,EQ-B02,36.8,1.28,12.7,5.36
S-010593,2024-03-29 00:00,EQ-B03,40.4,0.92,14.5,5.57
S-010594,2024-03-29 00:00,EQ-B04,39.2,0.75,10.7,5.5
S-010595,2024-03-29 00:00,EQ-C01,40.4,2.65,16.0,4.4
S-010596,2024-03-29 00:00,EQ-C02,42.4,2.44,14.1,5.09
S-010597,2024-03-29 00:00,EQ-C03,42.6,1.89,14.8,5.06
S-010598,2024-03-29 00:00,EQ-C04,39.2,1.49,11.1,5.49
S-010599,2024-03-29 02:00,EQ-A01,41.0,2.08,15.8,4.97
S-010600,2024-03-29 02:00,EQ-A02,44.6,2.25,16.1,4.7
S-010601,2024-03-29 02:00,EQ-A03,45.3,3.39,14.6,4.67
S-010602,2024-03-29 02:00,EQ-A04,41.5,2.52,10.6,5.17
S-010603,2024-03-29 02:00,EQ-B01,34.5,1.58,11.2,5.58
S-010604,2024-03-29 02:00,EQ-B02,39.8,1.77,13.0,5.46
S-010605,2024-03-29 02:00,EQ-B03,37.3,1.55,,5.3
S-010606,2024-03-29 02:00,EQ-B04,38.9,0.73,11.0,5.63
S-010607,2024-03-29 02:00,EQ-C01,42.1,1.47,13.6,4.83
S-010608,2024-03-29 02:00,EQ-C02,41.7,2.26,14.1,4.83
S-010609,2024-03-29 02:00,EQ-C03,38.8,1.37,14.6,4.95
S-010610,2024-03-29 02:00,EQ-C04,39.3,1.28,11.6,5.05
S-010611,2024-03-29 04:00,EQ-A02,41.5,2.6,14.3,5.32
S-010612,2024-03-29 04:00,EQ-A03,46.8,3.49,15.3,4.79
S-010613,2024-03-29 04:00,EQ-A04,40.2,1.64,11.9,5.46
S-010614,2024-03-29 04:00,EQ-B01,38.3,0.92,13.4,5.62
S-010615,2024-03-29 04:00,EQ-B02,41.1,1.54,11.1,5.23
S-010616,2024-03-29 04:00,EQ-B03,37.6,1.47,13.0,4.88
S-010617,2024-03-29 04:00,EQ-C01,40.2,1.71,15.0,4.94
S-010618,2024-03-29 04:00,EQ-C02,41.6,2.41,15.0,4.75
S-010619,2024-03-29 04:00,EQ-C03,40.5,1.98,13.2,5.5
S-010620,2024-03-29 04:00,EQ-C04,39.9,1.37,12.1,5.6
S-010621,2024-03-29 06:00,EQ-A01,42.2,2.22,15.7,4.86
S-010622,2024-03-29 06:00,EQ-A02,42.7,2.7,16.1,4.84
S-010623,2024-03-29 06:00,EQ-A03,45.6,3.11,16.0,4.69
S-010624,2024-03-29 06:00,EQ-A04,39.9,2.05,12.5,5.48
S-010625,2024-03-29 06:00,EQ-B01,34.6,1.26,13.7,5.63
S-010626,2024-03-29 06:00,EQ-B02,40.7,1.16,13.2,5.38
S-010627,2024-03-29 06:00,EQ-B03,40.4,1.07,14.4,5.09
S-010628,2024-03-29 06:00,EQ-B04,36.4,0.68,9.3,5.63
S-010629,2024-03-29 06:00,EQ-C01,38.4,1.52,11.8,5.12
S-010630,2024-03-29 06:00,EQ-C02,40.6,1.91,13.8,5.15
S-010631,2024-03-29 06:00,EQ-C03,43.0,2.26,15.0,5.08
S-010632,2024-03-29 06:00,EQ-C04,39.3,1.9,12.0,5.12
S-010633,2024-03-29 08:00,EQ-A01,44.8,2.08,15.8,4.98
S-010634,2024-03-29 08:00,EQ-A02,41.2,2.26,,5.08
S-010635,2024-03-29 08:00,EQ-A03,43.7,3.13,15.8,4.89
S-010636,2024-03-29 08:00,EQ-A04,40.2,6.89,10.5,4.74
S-010637,2024-03-29 08:00,EQ-B01,34.8,1.19,13.3,5.33
S-010638,2024-03-29 08:00,EQ-B02,39.0,1.45,13.0,5.5
S-010639,2024-03-29 08:00,EQ-B03,,1.16,13.0,5.15
S-010640,2024-03-29 08:00,EQ-B04,34.1,1.31,10.6,5.41
S-010641,2024-03-29 08:00,EQ-C01,41.0,1.83,14.3,4.8
S-010642,2024-03-29 08:00,EQ-C02,40.7,1.83,14.4,5.13
S-010643,2024-03-29 08:00,EQ-C04,39.8,1.68,10.8,5.21
S-010644,2024-03-29 10:00,EQ-A01,43.1,3.13,13.0,5.01
S-010645,2024-03-29 10:00,EQ-A03,45.2,3.06,15.3,5.1
S-010646,2024-03-29 10:00,EQ-A04,41.9,1.82,13.2,5.06
S-010647,2024-03-29 10:00,EQ-B01,37.4,1.27,12.6,5.68
S-010648,2024-03-29 10:00,EQ-B02,39.4,1.58,14.3,5.59
